Source           Destination              Packets               Bytes
 147.249.46.2     156.36.217.170            46616627          3870472847
 156.36.239.51    170.132.154.94               35633            10913340
 170.132.154.94   156.36.239.51                26275             5489533
 170.135.199.195  208.238.11.146                3673              164022
 208.238.11.146   170.135.199.195               3678              176011
 156.36.169.75    170.132.25.226                1502              862600
 170.132.25.226   156.36.169.75                 1142              432638
 168.162.95.146   156.36.200.39               141247            94332881
 156.36.200.39    168.162.95.146              119949            60411392
 100.120.134.34   170.135.199.195                  3                 168
 168.162.64.242   170.135.199.195                 66               24173
 170.135.199.195  168.162.64.242                  91               11073
 170.135.2.10     156.55.84.75              25955240          1429445032
 156.55.84.75     170.135.2.10              49753602            91467080
 168.162.95.146   156.36.200.38                58951            33762741
 156.36.200.38    168.162.95.146               45325            12474055
 170.135.2.11     172.16.3.10               72553262          3937542149
 156.36.178.86    170.132.235.10               27096             3985116
 170.132.235.10   156.36.178.86                15865              967121
 10.0.208.96      170.135.199.195              20606             1153936
 170.132.50.161   170.135.199.195            2136090           917219574
 168.162.95.146   156.36.152.114                  26               12916
 156.36.152.114   168.162.95.146                  24                4490
 168.162.95.146   156.36.200.32                62844            36086403
 156.36.200.32    168.162.95.146               48556            13586333
 170.132.50.161   170.135.2.11             134339695           610569918
 156.36.168.23    156.55.84.98                 14568             1967736
 156.55.84.98     156.36.168.23                14903             7155940
 170.132.25.132   170.135.199.195            2486215          1902737320
 170.135.199.195  170.132.25.132             2411235          1773000377
 156.55.84.100    156.36.168.23                  201               68647
 156.36.168.23    156.55.84.100                  221               43753
 170.135.199.195  172.16.3.10                2397502           284967923
 170.132.238.73   170.135.199.195                 38               25197
 170.135.199.195  170.132.238.73                  40                2480
 170.132.14.4     156.36.198.250             2699875           154287367
 156.36.198.250   170.132.14.4               5144860          2060617754
 156.36.205.21    168.162.95.148             1048310            62861392
 168.162.95.148   156.36.205.21              1911853          2478448159
 170.132.24.98    156.36.222.144              377647           468711348
 156.36.222.144   170.132.24.98               347942            15310228
 170.132.238.74   170.135.199.195                 36               23412
 170.135.199.195  170.132.238.74                  40                2480
 168.162.178.66   156.36.178.86                    2                  92
 156.36.178.86    168.162.178.66                   4                 180
 156.36.205.20    168.162.95.146             1797254           112707527
 168.162.95.146   156.36.205.20              3189417          4085038251
 156.36.239.228   170.132.26.47                    7                 292
 170.132.26.47    156.36.239.228                   7                 298
 168.162.95.146   156.36.200.31                57960            31931561
 156.36.200.31    168.162.95.146               45721            12615679
 156.36.239.227   170.132.26.48                 1610              143908
 170.132.26.48    156.36.239.227                2300             2723443
 156.36.238.224   170.132.26.48               654467            35065398
 170.132.26.48    156.36.238.224             1235737          1584498959
 170.135.199.195  170.132.154.41                   5                 260
 170.135.199.195  170.132.113.195                  5                 260
 156.55.84.99     170.135.199.195              73672             3476982
 170.135.199.195  156.55.84.99                 72524             3257596
 170.132.25.169   170.135.199.195           44848113           735759880
 170.135.199.195  170.132.25.169            31993452           822106513
 170.135.2.10     156.55.84.98                   314               88304
 156.55.84.98     170.135.2.10                   288               58906
 168.162.95.146   156.36.152.93                   13                6554
 156.36.152.93    168.162.95.146                  12                2629
 100.120.138.4    170.135.199.195                  2                 112
 170.135.202.26   147.249.46.2               8233253          1087537950
 147.249.46.2     170.135.202.26            14211234           610186675
 156.55.51.76     156.36.204.28                18003             4411252
 156.36.204.28    156.55.51.76                 21365             6168781
 100.120.138.2    170.135.199.195                  4                 224
 156.55.84.101    170.135.2.10                  4678              306460
 170.135.2.10     156.55.84.101                 8445            10617900
 156.36.204.28    156.55.51.79                 31312             2181216
 156.55.51.79     156.36.204.28                32126             7191826
 170.135.199.195  170.132.154.94                   6                 468
 156.36.204.246   147.249.46.2                  1162              830186
 147.249.46.2     156.36.204.246                 857              316982
